iter	Passed	Remaining
427	203613	747851
428	203998	747045
429	204368	746183
430	204724	745273
431	205123	744523
432	205522	743772
433	205912	742991
434	206411	742605
435	206926	742276
436	207321	741517
437	207752	740887
438	208248	740491
439	208633	739699
440	209037	738980
441	209460	738324
442	209861	737594
443	210269	736889
444	210666	736148
445	211035	735311
446	211658	735359
447	212065	734655
448	212483	733991
449	213042	733811
450	213431	733049
451	213834	732336
452	214207	731522
453	214590	730742
454	214935	729834
455	215343	729144
456	215758	728479
457	216242	728048
458	216826	727951
459	217246	727303
460	217684	726716
461	218225	726472
462	218650	725842
463	219036	725085
464	219446	724410
465	219831	723650
466	220264	723051
467	220689	722426
468	221060	721629
469	221648	721536
470	222101	721005
471	222479	720230
472	222933	719702
473	223431	719317
474	223809	718546
475	224196	717805
476	224612	717158
477	225039	716547
478	225430	715822
479	225797	715024
480	226210	714373
481	226831	714379
482	227249	713741
483	227628	712984
484	228125	712599
485	228554	711999
486	228918	711198
487	229337	710571
488	229750	709925
489	230150	709238
490	230582	708654
491	230993	708004
492	231734	708365
493	232128	707663
494	232497	706886
495	232915	706260
496	233280	705472
497	233676	704784
498	234035	703983
499	234428	703285
500	234815	702570
501	235195	701837
502	235617	701231
503	236013	700547
504	236657	700600
505	237103	700063
506	237472	699304
507	237984	698963
508	238414	698380
509	238803	697680
510	239166	696907
511	239586	696299
512	239974	695597
513	240355	694878
514	240773	694268
515	241216	693730
516	241812	693632
517	242194	692920
518	242610	692304
519	243122	691963
520	243538	691351
521	243887	690546
522	244260	689815
523	244667	689177
524	245054	688487
525	245501	687964
526	245917	687355
527	246453	687082
528	246990	686811
529	247369	686099
530	247763	685432
531	248298	685154
532	248734	684603
533	249112	683892
534	249529	683290
535	249917	682611
536	250316	681959
537	250711	681301
538	251237	680997
539	251831	680877
540	252231	680233
541	252608	679526
542	253076	679066
543	253443	678332
544	253837	677676
545	254209	676959
546	254629	676374
547	255025	675724
548	255416	675061
549	255802	674388
550	256312	674040
551	256838	673734
552	257228	673072
553	257627	672434
554	258224	672314
555	258649	671743
556	259037	671079
557	259449	670477
558	259896	669964
559	260276	669282
560	260707	668730
561	261537	669201
562	262255	669380
563	262937	669464
564	263357	668880
565	263867	668526
566	264303	667984
567	264980	668049
568	265699	668216
569	266805	669354
570	267569	669626
571	268186	669528
572	268696	669162
573	269316	669068
574	269796	668625
575	270253	668125
576	270705	667614
577	271310	667479
578	271999	667549
579	272444	667018
580	272937	666605
581	273474	666300
582	273963	665877
583	274416	665365
584	274892	664911
585	275330	664364
586	275757	663791
587	276401	663739
588	277034	663658
589	277378	662887
590	277860	662444
591	278481	662335
592	278942	661840
593	279372	661274
594	279777	660651
595	280202	660073
596	280738	659757
597	281309	659524
598	282027	659633
599	282840	659961
600	283899	660857
601	284756	661278
602	285237	660824
603	285694	660314
604	286426	660438
605	287643	661675
606	288171	661322
607	288688	660944
608	289360	660920
609	290099	661045
610	290737	660941
611	291455	661013
612	292433	661671
613	293064	661543
614	293687	661393
615	294340	661309
616	294873	660957
617	295349	660474
618	295870	660092
619	296522	660001
620	297244	660063
621	297725	659590
622	298293	659310
623	298946	659215
624	299495	658889
625	300093	658672
626	300663	658391
627	301626	658966
628	302364	659049
629	302901	658690
630	303392	658232
631	304028	658086
632	304654	657918
633	305221	657623
634	305781	657309
635	306724	657817
636	307729	658454
637	308328	658218
638	308992	658121
639	309523	657738
640	309987	657211
641	310470	656727
642	311046	656439
643	311950	656840
644	312459	656406
645	312959	655956
646	313774	656162
647	316286	659907
648	319233	664536
649	320029	664675
650	320721	664597
651	321333	664353
652	322118	664462
653	322881	664523
654	323372	664024
655	323994	663793
656	324474	663271
657	324911	662661
658	325388	662133
659	325915	661706
660	326605	661610
661	327226	661373
662	327719	660876
663	328358	660672
664	328793	660059
665	329228	659445
666	329693	658892
667	330148	658320
668	330594	657729
669	331069	657197
670	331815	657202
671	332294	656677
672	332760	656126
673	333470	656056
674	333907	655448
675	334397	654943
676	334947	654557
677	335416	654012
678	335939	653572
679	336623	653445
680	337213	653134
681	337757	652733
682	338398	652520
683	338877	651991
684	339341	651437
685	339854	650974
686	340326	650434
687	340892	650073
688	341613	650006
689	342168	649625
690	342640	649083
691	343173	648658
692	343648	648121
693	344161	647658
694	344622	647096
695	345086	646540
696	345578	646037
697	346132	645651
698	346840	645550
699	347300	644986
700	347743	644392
701	348423	644236
702	348950	643796
703	349482	643366
704	349930	642780
705	350439	642307
706	350899	641743
707	351614	641647
708	352162	641242
709	352620	640676
710	353219	640365
711	353728	639891
712	354293	639517
713	354828	639088
714	355313	638571
715	355802	638059
716	356505	637931
717	357268	637907
718	357770	637419
719	358390	637138
720	358915	636689
721	359324	636034
722	359843	635574
723	360455	635277
724	360930	634740
725	361684	634691
726	362297	634394
727	362746	633809
728	363357	633507
729	363816	632940
730	364361	632523
731	364832	631978
732	365368	631543
733	365922	631141
734	366822	631334
735	367321	630834
736	367787	630279
737	368398	629972
738	368875	629433
739	369331	628862
740	369811	628330
741	370378	627946
742	370805	627325
743	371391	626972
744	372130	626877
745	372644	626402
746	373138	625894
747	373700	625498
748	374182	624969
749	374693	624488
750	375278	624130
751	375870	623785
752	376749	623913
753	377427	623705
754	378316	623847
755	378993	623634
756	386791	635114
757	387578	635056
758	388668	635491
759	389511	635518
760	390329	635503
761	390801	634923
762	391250	634307
763	391965	634121
764	392652	633889
765	393225	633472
766	393730	632945
767	394362	632623
768	394829	632034
769	395302	631457
770	395759	630854
771	396359	630479
772	396964	630109
773	397500	629632
774	398128	629299
775	398700	628878
776	399167	628291
777	399652	627732
778	400098	627112
779	400570	626532
780	401306	626366
781	402142	626354
782	402695	625900
783	403176	625335
784	403839	625050
785	404386	624587
786	404898	624068
787	405369	623487
788	405848	622918
789	406391	622447
790	407064	622175
791	407574	621653
792	408080	621126
793	408606	620629
794	409085	620061
795	409592	619534
796	410065	618957
797	410532	618370
798	410937	617692
799	411631	617447
800	412217	617039
801	412693	616467
802	413303	616095
803	413734	615456
804	414180	614839
805	414649	614257
806	415094	613640
807	415565	613062
808	416089	612561
809	416829	612378
810	417340	611858
811	417787	611245
812	418472	610979
813	418928	610380
814	419326	609695
815	419750	609049
816	420181	608414
817	420743	607968
818	421804	608242
819	422616	608156
820	423222	607770
821	423974	607594
822	424551	607164
823	425107	606706
824	425726	606337
825	426379	606017
826	427142	605849
827	427763	605481
828	428305	605001
829	428985	604715
830	429516	604218
831	430053	603728
832	430606	603263
833	431158	602794
834	431969	602688
835	432591	602316
836	433091	601774
837	433740	601439
838	434274	600944
839	434740	600356
840	435239	599812
841	435716	599239
842	436244	598736
843	437017	598568
844	437627	598177
845	438226	597770
846	438864	597415
847	439470	597017
848	440311	596936
849	441060	596729
850	441940	596697
851	442550	596300
852	443176	595924
853	443927	595715
854	444451	595201
855	444973	594684
856	445499	594173
857	445998	593624
858	446759	593425
859	447387	593049
860	447882	592495
861	448583	592214
862	449102	591690
863	449611	591156
864	450077	590564
865	450530	589956
866	450991	589358
867	451837	589263
868	452294	588659
869	452864	588203
870	453730	588130
871	454368	587761
872	455322	587798
873	455928	587386
874	456761	587264
875	457440	586944
876	458066	586554
877	458726	586208
878	459224	585655
879	459841	585252
880	460297	584645
881	460843	584153
882	461538	583849
883	462226	583535
884	462775	583044
885	463474	582743
886	464005	582229
887	464473	581638
888	464945	581051
889	465381	580419
890	465927	579925
891	466762	579790
892	467382	579387
893	467871	578820
894	468566	578509
895	469059	577948
896	469591	577435
897	470086	576876
898	470612	576356
899	471277	576005
900	472083	575827
901	472568	575255
902	473257	574931
903	473812	574445
904	474313	573892
905	474773	573291
906	475284	572752
907	475780	572194
908	476413	571800
909	477182	571570
910	477626	570950
911	478237	570529
912	478823	570077
913	479376	569587
914	479939	569108
915	480591	568734
916	481438	568590
917	482229	568379
918	482800	567907
919	483387	567454
920	483996	567027
921	484542	566526
922	485067	565999
923	485549	565423
924	486144	564978
925	487019	564858
926	487592	564386
927	488169	563920
928	489009	563755
929	489487	563173
930	489994	562625
931	490533	562113
932	491165	561707
933	495918	566005
934	502642	572528
935	503410	572253
936	504255	572063
937	504839	571577
938	505301	570953
939	505797	570367
940	506514	570030
941	507112	569558
942	507565	568925
943	507969	568236
944	508582	567782
945	508976	567083
946	509388	566405
947	509844	565777
948	510263	565107
949	510705	564463
950	511267	563953
951	511959	563585
952	512377	562916
953	512861	562320
954	513465	561854
955	513913	561219
956	514293	560510
957	514675	559803
958	515168	559218
959	515602	558569
960	516209	558108
961	516761	557586
962	517290	557040
963	517794	556467
964	518288	555884
965	518707	555220
966	519161	554595
967	519585	553938
968	520049	553323
969	520477	552671
970	520932	552048
971	521596	551647
972	522057	551031
973	522494	550389
974	523110	549936
975	523548	549297
976	524022	548695
977	524443	548038
978	524929	547448
979	525369	546813
980	525851	546220
981	526404	545702
982	526999	545227
983	527461	544614
984	527882	543959
985	528463	543470
986	528906	542839
987	529311	542169
988	529730	541513
989	530159	540869
990	530562	540199
991	531041	539607
992	531678	539174
993	532099	538523
994	532488	537840
995	532981	537262
996	533423	536633
997	533834	535974
998	534269	535339
999	534647	534647
1000	535048	533979
1001	535434	533297
1002	535818	532613
1003	536410	532136
1004	536952	531609
1005	537386	530975
1006	537859	530381
1007	538350	529805
1008	538776	529165
1009	539177	528500
1010	539555	527814
1011	539955	527149
1012	540362	526493
1013	540778	525846
1014	541285	525286
1015	541831	524766
1016	542236	524108
1017	542653	523463
1018	543164	522909
1019	543554	522238
1020	543942	521566
1021	544369	520932
1022	544771	520275
1023	545177	519621
1024	545602	518987
1025	546165	518484
1026	546718	517971
1027	547079	517277
1028	547521	516660
1029	548016	516093
1030	548433	515452
1031	548858	514820
1032	549281	514186
1033	549682	513533
1034	550160	512951
1035	550591	512326
1036	551043	511721
1037	551663	511271
1038	552070	510625
1039	552466	509969
1040	552992	509432
1041	553448	508833
1042	553876	508207
1043	554250	507532
1044	554702	506929
1045	555086	506263
1046	555483	505612
1047	555904	504981
1048	556572	504576
1049	557073	504018
1050	557457	503356
1051	557969	502808
1052	558412	502199
1053	558842	501579
1054	559232	500923
1055	559619	500265
