iter	Logloss
0	0.686649842
1	0.6802742993
2	0.6756268907
3	0.6710058743
4	0.6670113375
5	0.6634925721
6	0.660168069
7	0.6577841112
8	0.655440665
9	0.653196189
10	0.6514004737
11	0.6497080131
12	0.648196053
13	0.646418819
14	0.6451975756
15	0.6440586139
16	0.643007366
17	0.6421321978
18	0.641325894
19	0.6404261329
20	0.6396604202
21	0.6390351178
22	0.6382996107
23	0.6375397047
24	0.6370870505
25	0.6364667963
26	0.6358489627
27	0.635363144
28	0.6348519306
29	0.6344152733
30	0.6339538797
31	0.6335445867
32	0.6331375586
33	0.6327416301
34	0.6322689765
35	0.6319371823
36	0.6314998297
37	0.6311310042
38	0.6306712426
39	0.6303064218
40	0.6299773048
41	0.6295880412
42	0.6292642297
43	0.6290580404
44	0.6286904601
45	0.6284355614
46	0.6281256767
47	0.6279207218
48	0.6277718617
49	0.6276162045
50	0.6273540453
51	0.6270864333
52	0.6268861412
53	0.6266484947
54	0.6264612659
55	0.626246029
56	0.6259897532
57	0.6258348435
58	0.6257225754
59	0.6254878338
60	0.6253516319
61	0.6250320028
62	0.6248660159
63	0.6247113153
64	0.6245339376
65	0.6243552381
66	0.6242231979
67	0.6240581724
68	0.6238994727
69	0.6237376002
70	0.6235835521
71	0.6233850039
72	0.62323796
73	0.6231093058
74	0.6230218815
75	0.6229182873
76	0.6228080353
77	0.6226984241
78	0.6225758998
79	0.6225202348
80	0.6224977043
81	0.6222993383
82	0.622178526
83	0.6220567524
84	0.621873606
85	0.6216497514
86	0.6215706261
87	0.6214704536
88	0.6213245819
89	0.6212091474
90	0.621193703
91	0.6211093057
92	0.6209546301
93	0.6209084982
94	0.6207843753
95	0.6207073677
96	0.6205968261
97	0.6205504075
98	0.6204196725
99	0.6203188902
100	0.6202568064
101	0.6201814044
102	0.6200467842
103	0.6199470068
104	0.6197716496
105	0.6196607679
106	0.6194967455
107	0.6193749664
108	0.6192899492
109	0.619183664
110	0.6189894612
111	0.6189138745
112	0.6188294083
113	0.6187610604
114	0.6186749918
115	0.6184978664
116	0.6183446817
117	0.6182945671
118	0.6182637211
119	0.6181278336
120	0.6180546244
121	0.6179167387
122	0.6178590605
